date,HouseType,RUs,EVs,HVAC,Isolation,Holiday,Seed
180.0,3.0,0.0,0.0,1.0,1.0,0.0,4.62
364.0,2.0,1.0,0.0,0.0,1.0,1.0,32.14
332.0,3.0,0.0,0.0,0.0,1.0,1.0,8.950000000000001
340.0,6.0,1.0,0.0,0.0,1.0,0.0,15.61
164.0,5.0,0.0,0.0,0.0,1.0,1.0,4.96
38.0,6.0,1.0,0.0,1.0,1.0,1.0,34.982
148.0,6.0,1.0,0.0,1.0,1.0,0.0,32.69200000000001
142.0,3.0,0.0,0.0,0.0,1.0,1.0,11.11
272.0,4.0,0.0,0.0,1.0,1.0,0.0,15.28
60.0,5.0,0.0,0.0,1.0,1.0,1.0,33.49
302.0,6.0,1.0,0.0,0.0,1.0,0.0,17.98
102.0,6.0,0.0,85.0,1.0,0.0,0.0,40.61
72.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
171.0,5.0,0.0,0.0,0.0,0.0,0.0,13.58
311.0,5.0,0.0,0.0,0.0,0.0,1.0,18.43
302.0,3.0,0.0,0.0,0.0,1.0,1.0,14.260000000000002
142.0,3.0,0.0,0.0,1.0,1.0,1.0,6.0
206.0,6.0,1.0,0.0,1.0,1.0,0.0,30.27
321.0,4.0,0.0,0.0,0.0,1.0,0.0,22.31
17.0,3.0,0.0,0.0,1.0,1.0,0.0,15.27
99.0,3.0,0.0,0.0,0.0,1.0,1.0,9.78
208.0,6.0,1.0,0.0,1.0,1.0,1.0,26.124
3.0,4.0,0.0,0.0,1.0,1.0,0.0,12.94
314.0,5.0,0.0,0.0,0.0,1.0,0.0,1.91
14.0,6.0,1.0,0.0,0.0,1.0,1.0,11.91
123.0,4.0,0.0,0.0,0.0,1.0,0.0,13.86
3.0,5.0,0.0,0.0,0.0,1.0,0.0,19.950000000000003
85.0,6.0,1.0,0.0,0.0,1.0,1.0,32.28
96.0,6.0,1.0,0.0,1.0,1.0,0.0,26.776
136.0,3.0,0.0,0.0,1.0,1.0,1.0,9.759999999999998
163.0,4.0,0.0,0.0,1.0,1.0,0.0,15.82
238.0,3.0,0.0,0.0,1.0,1.0,0.0,10.48
30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.370000000000001
57.0,4.0,0.0,0.0,1.0,1.0,0.0,18.23
224.0,5.0,0.0,0.0,0.0,1.0,0.0,12.62
273.0,6.0,0.0,85.0,1.0,0.0,1.0,30.11
255.0,2.0,0.0,0.0,1.0,1.0,0.0,10.63
206.0,5.0,0.0,0.0,0.0,1.0,0.0,14.44
229.0,6.0,0.0,85.0,1.0,0.0,0.0,42.56
269.0,5.0,0.0,0.0,0.0,1.0,0.0,19.34
20.0,4.0,0.0,0.0,0.0,1.0,0.0,17.439999999999998
275.0,2.0,1.0,0.0,0.0,1.0,0.0,46.07
215.0,5.0,0.0,0.0,0.0,1.0,0.0,12.28
222.0,2.0,1.0,0.0,0.0,1.0,0.0,42.08
11.0,3.0,0.0,0.0,0.0,1.0,0.0,9.62
252.0,3.0,0.0,0.0,0.0,1.0,0.0,10.73
191.0,5.0,0.0,0.0,0.0,0.0,1.0,53.22
180.0,3.0,0.0,0.0,0.0,1.0,0.0,12.07
106.0,1.0,0.0,0.0,1.0,1.0,0.0,12.83
195.0,1.0,0.0,0.0,1.0,1.0,0.0,13.87
207.0,2.0,1.0,0.0,0.0,1.0,0.0,36.51
197.0,3.0,0.0,0.0,1.0,1.0,0.0,3.36
36.0,3.0,0.0,0.0,1.0,1.0,0.0,8.229999999999999
18.0,5.0,1.0,0.0,0.0,1.0,0.0,14.68
222.0,2.0,1.0,0.0,0.0,1.0,0.0,17.78
321.0,2.0,1.0,0.0,0.0,1.0,0.0,25.27
218.0,3.0,0.0,0.0,1.0,1.0,0.0,9.33
110.0,1.0,0.0,0.0,1.0,1.0,0.0,10.2
251.0,1.0,0.0,0.0,0.0,1.0,1.0,6.43
128.0,4.0,0.0,0.0,0.0,1.0,0.0,9.77
56.0,0.0,0.0,0.0,0.0,0.0,1.0,3.08
198.0,6.0,1.0,0.0,1.0,1.0,0.0,30.672
118.0,2.0,1.0,0.0,0.0,1.0,0.0,35.19
133.0,3.0,0.0,0.0,1.0,1.0,0.0,28.76
313.0,2.0,0.0,0.0,1.0,1.0,1.0,24.11
202.0,5.0,1.0,0.0,0.0,1.0,0.0,24.46
5.0,5.0,1.0,0.0,0.0,1.0,0.0,28.49
249.0,6.0,1.0,0.0,1.0,1.0,1.0,22.395
96.0,1.0,0.0,0.0,1.0,1.0,0.0,16.34
272.0,2.0,2.0,0.0,1.0,1.0,0.0,29.78
289.0,4.0,0.0,0.0,0.0,1.0,0.0,11.88
229.0,3.0,0.0,0.0,1.0,1.0,0.0,5.58
78.0,3.0,0.0,0.0,1.0,1.0,0.0,6.2
163.0,5.0,0.0,0.0,0.0,1.0,0.0,9.84
333.0,5.0,1.0,0.0,0.0,1.0,0.0,14.35
143.0,1.0,0.0,0.0,0.0,1.0,0.0,10.1
150.0,5.0,0.0,0.0,1.0,1.0,0.0,129.25
