Month,Day,Coverage,Generation,Consumption
2.0,4.0,9.069029698867247,2.927574683144852,32.28101329859484
2.0,5.0,4.698889333464883,1.5136402526875212,32.2127240134721
2.0,6.0,7.226146116829973,2.323039161622441,32.14769150892192
2.0,7.0,2.8234019063798765,0.9059341539313538,32.08661692422419
2.0,8.0,5.815076746083548,1.8609292969545015,32.00180114919097
2.0,9.0,7.732397535387639,2.463367949593196,31.857750953950443
2.0,10.0,3.5565524048498256,1.1278543823825726,31.712013601840795
2.0,11.0,1.119530988656587,0.35325775380188473,31.554084467620356
2.0,12.0,2.298052731264761,0.7213880927999787,31.391276752947007
2.0,13.0,1.7327702496115378,0.5413072984120587,31.23941552744295
2.0,14.0,6.001710890352352,1.867102537119562,31.10950479338979
2.0,15.0,3.8629762130850587,1.1946737699755168,30.92625230072084
2.0,16.0,6.208769138025435,1.9072812638111365,30.719152563268057
2.0,17.0,11.777786729031,3.5944365757266428,30.518777920020717
2.0,18.0,13.163963010590358,3.9905306775538563,30.314052647698034
2.0,19.0,11.358062312645048,3.4191506619778758,30.10329198644473
2.0,20.0,12.524161691276886,3.7438657198405823,29.89314424492136
2.0,21.0,12.948501458188252,3.843529105541452,29.683196298448244
2.0,22.0,13.11806569303714,3.8660567156649646,29.471240700654565
2.0,23.0,1.825623787707367,0.5335703402703358,29.226741230207
2.0,24.0,1.5404405462359416,0.44635618973070756,28.975879064036363
2.0,25.0,6.305309060532621,1.8115768861927417,28.730976845086072
2.0,26.0,0.8263508368844859,0.23541959155192535,28.489060704471008
2.0,27.0,0.8607451637741927,0.24316405008754546,28.25041142506343
2.0,28.0,6.015751023199986,1.6861137900524839,28.02831738796899
3.0,1.0,5.382787159572211,1.4967389873686372,27.80602210338163
3.0,2.0,4.801012127735258,1.3265203971588313,27.63001554392198
3.0,3.0,12.579465103056389,3.455447122251898,27.46895113538921
3.0,4.0,3.333230974073694,0.9105227977875513,27.31652276334033
3.0,5.0,1.4244732140909433,0.38701100841154507,27.168710831710797
3.0,6.0,5.41585284646051,1.463412684719675,27.020909286264626
3.0,7.0,12.162622149763024,3.268485344877986,26.873196459051957
3.0,8.0,1.9355774849798433,0.517320751323685,26.726946109784507
3.0,9.0,7.501741271342258,1.9942714806302553,26.5841143875311
3.0,10.0,13.924496281908455,3.682321523413412,26.444917280043416
3.0,11.0,7.4840476613657,1.9692845180990801,26.31309429341237
3.0,12.0,17.838968156861604,4.672982809006341,26.195364933194966
3.0,13.0,17.987509991056186,4.692621421231409,26.088221346727206
3.0,14.0,14.662007087518674,3.8093121931382883,25.980837210077745
3.0,15.0,11.004784374136516,2.8475431527010655,25.875501562696417
3.0,16.0,4.029116873245624,1.038310103157353,25.77016591531509
3.0,17.0,8.392860039557622,2.153957399142072,25.664164408675216
