"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","15","5","0","0","4","1","0","4","0","0"
"1","15","6","0","0","4","1","0","4","0","0"
"1","15","7","0","0","4","1","0","4","0","0"
"1","15","8","0","11","4","1","10.415","1.563","19.868","9.303"
"1","15","9","0","49","4","1","48.154","2.932","91.33","79.407"
"1","15","10","0","79","5","1","78.274","5.221","147.01","133.962"
"1","15","11","0","96","5","1","95.161","5.986","178.138","164.435"
"1","15","12","0","46","5","1","43.64","4.303","82.286","70.539"
"1","15","13","0","78","5","1","75.704","5.106","142.252","129.302"
"1","15","14","0","24","5","1","22.734","3.461","43.022","32.027"
"1","15","15","0","22","5","1","20.842","3.078","39.505","28.577"
"1","15","16","0","0","5","1","0","5","0","0"
"1","15","17","0","0","4","2","0","4","0","0"
"1","15","18","0","0","4","2","0","4","0","0"
"1","15","19","0","0","4","2","0","4","0","0"
"1","15","20","0","0","4","1","0","4","0","0"
"1","15","21","0","0","4","1","0","4","0","0"
"1","15","22","0","0","3","1","0","3","0","0"
"1","15","23","0","0","3","1","0","3","0","0"
"1","16","0","0","0","3","1","0","3","0","0"
"1","16","1","0","0","3","1","0","3","0","0"
"1","16","2","0","0","4","1","0","4","0","0"
"1","16","3","0","0","4","1","0","4","0","0"
"1","16","4","0","0","5","1","0","5","0","0"
"1","16","5","0","0","5","2","0","5","0","0"
"1","16","6","0","0","5","1","0","5","0","0"
"1","16","7","0","0","6","1","0","6","0","0"
"1","16","8","0","2","6","2","1.889","3.857","3.569","0"
"1","16","9","0","11","6","2","10.407","4.107","19.639","9.079"
"1","16","10","0","14","6","2","13.253","4.22","24.998","14.339"
"1","16","11","0","48","6","2","45.542","5.152","85.56","73.75"
"1","16","12","0","11","6","2","10.415","4.273","19.641","9.081"
"1","16","13","55","126","6","1","171.672","9.21","315.272","298.474"
"1","16","14","0","11","6","1","10.41","4.624","19.601","9.041"
"1","16","15","6","51","6","1","54.487","5.189","101.875","89.743"
"1","16","16","0","5","6","1","4.727","3.731","8.936","0"
"1","16","17","0","0","6","1","0","6","0","0"
"1","16","18","0","0","6","1","0","6","0","0"
"1","16","19","0","0","6","1","0","6","0","0"
"1","16","20","0","0","5","1","0","5","0","0"
"1","16","21","0","0","5","1","0","5","0","0"
"1","16","22","0","0","5","1","0","5","0","0"
"1","16","23","0","0","5","1","0","5","0","0"
"1","17","0","0","0","5","1","0","5","0","0"
"1","17","1","0","0","5","1","0","5","0","0"
"1","17","2","0","0","5","1","0","5","0","0"
"1","17","3","0","0","4","2","0","4","0","0"
"1","17","4","0","0","4","2","0","4","0","0"
"1","17","5","0","0","4","2","0","4","0","0"
"1","17","6","0","0","4","2","0","4","0","0"
"1","17","7","0","0","4","2","0","4","0","0"
"1","17","8","155","23","4","2","77.375","4.004","129.353","116.667"
"1","17","9","489","53","4","2","284.766","10.13","490.465","469.204"
"1","17","10","648","66","5","2","451.138","16.425","781.286","751.357"
"1","17","11","27","125","5","2","152.629","8.814","281.5","265.497"
"1","17","12","0","69","5","2","65.649","5.244","123.286","110.724"
