"PVWatts: Por hora Datos de rendimiento FV"
"Ubicación solicitada:","victoria canada"
"Ubicación:","Lat., long.: 46.21, -63.5"
"Lat. (° N):","46.21"
"Long. (° O):","63.5"
"Altitud (m):","0"
"Tamaño del sistema en CC (kW):","4"
"Tipo de módulo:","Estándar"
"Tipo de campo:","Fijo (bastidor abierto)"
"Inclinación del campo (grados):","20"
"Acimut del campo (grados):","180"
"Pérdidas del sistema:","14.08"
"Eficiencia del inversor:","96"
"Relación de tamaño de CC a CA:","1.2"
"Costo promedio de la electricidad comprada a la empresa de servicio público ($/kWh):","No hay datos disponibles de servicio público"
"Factor de Capacidad (%)","13.2"	

"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","7","1","0","0","-5","3","0","-5","0","0"
"1","7","2","0","0","-5","3","0","-5","0","0"
"1","7","3","0","0","-6","3","0","-6","0","0"
"1","7","4","0","0","-6","3","0","-6","0","0"
"1","7","5","0","0","-7","4","0","-7","0","0"
"1","7","6","0","0","-7","4","0","-7","0","0"
"1","7","7","0","0","-8","4","0","-8","0","0"
"1","7","8","342","28","-8","4","139.564","-6.582","475.571","445.56"
"1","7","9","49","74","-9","4","102.899","-8.109","402.045","373.656"
"1","7","10","24","111","-9","4","133.91","-7.492","528.636","497.423"
"1","7","11","218","142","-9","4","313.799","-3.379","1211.252","1162.242"
"1","7","12","278","144","-9","4","359.907","-1.945","1381.129","1327.017"
"1","7","13","101","140","-9","4","225.479","-4.855","877.944","838.164"
"1","7","14","97","106","-9","4","175.303","-6.284","682.203","647.363"
"1","7","15","614","48","-9","4","314.241","-3.276","1126.535","1079.969"
"1","7","16","0","18","-9","4","17.607","-9.639","70.362","48.666"
"1","7","17","0","0","-10","4","0","-10","0","0"
"1","7","18","0","0","-10","3","0","-10","0","0"
"1","7","19","0","0","-10","3","0","-10","0","0"
"1","7","20","0","0","-10","3","0","-10","0","0"
"1","7","21","0","0","-11","3","0","-11","0","0"
"1","7","22","0","0","-11","3","0","-11","0","0"
"1","7","23","0","0","-12","2","0","-12","0","0"
"1","8","0","0","0","-12","2","0","-12","0","0"
"1","8","1","0","0","-13","3","0","-13","0","0"
"1","8","2","0","0","-12","3","0","-12","0","0"
"1","8","3","0","0","-12","3","0","-12","0","0"
"1","8","4","0","0","-11","3","0","-11","0","0"
"1","8","5","0","0","-10","3","0","-10","0","0"
"1","8","6","0","0","-9","3","0","-9","0","0"
"1","8","7","0","0","-8","4","0","-8","0","0"
"1","8","8","90","27","-7","4","62.693","-7.291","228.279","203.524"
"1","8","9","0","11","-5","4","10.408","-6.366","41.042","19.888"
"1","8","10","0","51","-4","4","48.399","-4.625","189.499","165.517"
"1","8","11","0","57","-2","3","54.108","-2.467","209.967","185.578"
"1","8","12","0","60","0","3","56.965","-0.367","219.12","194.548"
"1","8","13","142","141","0","2","252.491","5.173","941.008","899.561"
"1","8","14","566","92","0","2","426.469","10.742","1516.322","1457.958"
"1","8","15","84","65","0","2","111.805","2.594","411.887","383.283"
"1","8","16","0","9","0","2","8.518","-1.601","32.936","11.931"
"1","8","17","0","0","0","2","0","0","0","0"
"1","8","18","0","0","0","2","0","0","0","0"
"1","8","19","0","0","0","2","0","0","0","0"
"1","8","20","0","0","0","2","0","0","0","0"
"1","8","21","0","0","-1","3","0","-1","0","0"
"1","8","22","0","0","-1","3","0","-1","0","0"
"1","8","23","0","0","-1","3","0","-1","0","0"
"1","9","0","0","0","-1","3","0","-1","0","0"
"1","9","1","0","0","-2","3","0","-2","0","0"
"1","9","2","0","0","-2","3","0","-2","0","0"
"1","9","3","0","0","-2","2","0","-2","0","0"
"1","9","4","0","0","-2","2","0","-2","0","0"
"1","9","5","0","0","-2","2","0","-2","0","0"
"1","9","6","0","0","-3","2","0","-3","0","0"
"1","9","7","0","0","-3","2","0","-3","0","0"
"1","9","8","353","27","-2","1","141.779","0.146","468.498","438.644"
"1","9","9","633","57","-1","1","364.239","9.413","1264.303","1213.728"
"1","9","10","769","72","-1","0","541.784","21.132","1843.544","1774.184"
"1","9","11","837","76","0","0","646.437","26.86","2165.743","2084.585"
"1","9","12","850","78","0","0","674.853","28.488","2248.861","2164.503"
"1","9","13","826","74","0","1","623.266","21.221","2139.381","2059.225"
"1","9","14","746","65","0","1","492.559","16.979","1696.365","1632.074"
"1","9","15","573","49","0","1","302.144","10.287","1026.326","982.565"
"1","9","16","0","20","-1","1","19.909","-1.295","76.878","55.061"
"1","9","17","0","0","-2","2","0","-2","0","0"
"1","9","18","0","0","-1","2","0","-1","0","0"
"1","9","19","0","0","-1","2","0","-1","0","0"
"1","9","20","0","0","-1","2","0","-1","0","0"
"1","9","21","0","0","-1","2","0","-1","0","0"
"1","9","22","0","0","0","3","0","0","0","0"
"1","9","23","0","0","0","2","0","0","0","0"
"1","10","0","0","0","0","1","0","0","0","0"
"1","10","1","0","0","0","1","0","0","0","0"
"1","10","2","0","0","0","1","0","0","0","0"
"1","10","3","0","0","0","1","0","0","0","0"
"1","10","4","0","0","0","2","0","0","0","0"
"1","10","5","0","0","0","3","0","0","0","0"
"1","10","6","0","0","0","3","0","0","0","0"
"1","10","7","0","0","0","4","0","0","0","0"
"1","10","8","59","32","0","4","57.363","-0.388","207.982","183.633"
"1","10","9","375","62","0","4","253.058","4.09","907.272","866.721"
"1","10","10","0","57","0","4","54.113","0.061","207.775","183.43"
"1","10","11","55","157","0","5","209.106","2.729","791.233","753.686"
"1","10","12","57","165","0","5","220.396","3.212","832.615","794.011"
"1","10","13","573","132","0","5","532.762","9.378","1936.05","1863.402"
"1","10","14","539","102","0","4","426.193","8.999","1530.311","1471.497"
"1","10","15","398","67","0","4","252.862","4.903","892.026","851.877"
"1","10","16","0","19","0","5","18.593","-0.701","71.618","49.899"
"1","10","17","0","0","0","5","0","0","0","0"
"1","10","18","0","0","0","5","0","0","0","0"
"1","10","19","0","0","0","5","0","0","0","0"
"1","10","20","0","0","0","5","0","0","0","0"
"1","10","21","0","0","0","5","0","0","0","0"
"1","10","22","0","0","-1","5","0","-1","0","0"
"1","10","23","0","0","-1","5","0","-1","0","0"
"1","11","0","0","0","-1","5","0","-1","0","0"
"1","11","1","0","0","-2","5","0","-2","0","0"
"1","11","2","0","0","-2","4","0","-2","0","0"
"1","11","3","0","0","-2","4","0","-2","0","0"
"1","11","4","0","0","-2","4","0","-2","0","0"
"1","11","5","0","0","-3","4","0","-3","0","0"
"1","11","6","0","0","-3","4","0","-3","0","0"
"1","11","7","0","0","-4","4","0","-4","0","0"
"1","11","8","0","9","-4","4","8.515","-5.506","33.46","12.446"
"1","11","9","0","29","-3","4","27.484","-4.098","107.375","84.983"
"1","11","10","0","84","-3","4","82.428","-2.817","320.326","293.681"
"1","11","11","0","123","-3","4","123.704","-1.765","478.625","448.545"
"1","11","12","11","137","-3","4","146.254","-1.165","563.99","531.961"
"1","11","13","7","126","-3","4","132.148","-1.432","510.215","479.421"
"1","11","14","0","97","-3","4","98.059","-2.23","380.141","352.225"
"1","11","15","526","55","-4","3","292.333","1.707","1036.268","992.232"
"1","11","16","0","23","-4","3","23.54","-4.53","92.13","70.026"
"1","11","17","0","0","-4","3","0","-4","0","0"
"1","11","18","0","0","-5","3","0","-5","0","0"
"1","11","19","0","0","-5","2","0","-5","0","0"
"1","11","20","0","0","-5","2","0","-5","0","0"
"1","11","21","0","0","-5","2","0","-5","0","0"
"1","11","22","0","0","-5","2","0","-5","0","0"
"1","11","23","0","0","-5","2","0","-5","0","0"
"1","12","0","0","0","-4","2","0","-4","0","0"
"1","12","1","0","0","-4","2","0","-4","0","0"
"1","12","2","0","0","-4","2","0","-4","0","0"
"1","12","3","0","0","-4","2","0","-4","0","0"
"1","12","4","0","0","-4","2","0","-4","0","0"
"1","12","5","0","0","-4","2","0","-4","0","0"
"1","12","6","0","0","-4","2","0","-4","0","0"
"1","12","7","0","0","-4","2","0","-4","0","0"
"1","12","8","342","26","-3","1","137.805","-0.903","457.455","427.848"
"1","12","9","0","33","-2","1","31.286","-2.942","121.644","98.98"
"1","12","10","736","69","-1","1","521.849","13.902","1836.242","1767.139"
"1","12","11","194","150","-1","1","299.4","9.386","1095.595","1049.905"
"1","12","12","66","156","-1","1","214.57","5.356","802.829","764.987"
"1","12","13","337","129","-1","1","371.534","10.051","1349.851","1296.698"
"1","12","14","103","113","-1","0","187.39","8.267","686.341","651.4"
"1","12","15","131","65","-1","0","136.46","4.158","495.792","465.325"
"1","12","16","0","15","-2","1","14.218","-3.547","55.42","34.001"
"1","12","17","0","0","-2","1","0","-2","0","0"
"1","12","18","0","0","-2","1","0","-2","0","0"
"1","12","19","0","0","-2","1","0","-2","0","0"
"1","12","20","0","0","-3","1","0","-3","0","0"
"1","12","21","0","0","-3","1","0","-3","0","0"
"1","12","22","0","0","-3","1","0","-3","0","0"
"1","12","23","0","0","-3","1","0","-3","0","0"
"1","13","0","0","0","-3","1","0","-3","0","0"
"1","13","1","0","0","-3","1","0","-3","0","0"
"1","13","2","0","0","-2","2","0","-2","0","0"
"1","13","3","0","0","-2","2","0","-2","0","0"
"1","13","4","0","0","-2","2","0","-2","0","0"
"1","13","5","0","0","-1","2","0","-1","0","0"
"1","13","6","0","0","-1","2","0","-1","0","0"
"1","13","7","0","0","0","1","0","0","0","0"
"1","13","8","267","30","0","1","120.269","1.349","402.201","373.808"
"1","13","9","541","66","0","1","334.074","9.284","1166.029","1118.332"
"1","13","10","670","86","0","1","504.111","15.873","1761.34","1694.836"
"1","13","11","2","127","0","1","129.27","4.663","486.647","456.386"
"1","13","12","62","157","0","1","212.975","5.306","797.213","759.514"
"1","13","13","692","99","0","1","577.876","17.56","2022.725","1946.924"
"1","13","14","604","88","1","1","451.498","16.427","1567.736","1507.71"
"1","13","15","431","65","1","1","267.053","9.897","922.162","881.217"
"1","13","16","0","25","1","1","25.935","0.7","99.312","77.072"
"1","13","17","0","0","1","1","0","1","0","0"
"1","13","18","0","0","1","1","0","1","0","0"
"1","13","19","0","0","1","1","0","1","0","0"
"1","13","20","0","0","1","1","0","1","0","0"
"1","13","21","0","0","1","1","0","1","0","0"
"1","13","22","0","0","1","1","0","1","0","0"
"1","13","23","0","0","1","1","0","1","0","0"
"1","14","0","0","0","1","1","0","1","0","0"
"1","14","1","0","0","1","1","0","1","0","0"
"1","14","2","0","0","1","1","0","1","0","0"
"1","14","3","0","0","2","1","0","2","0","0"
"1","14","4","0","0","2","1","0","2","0","0"
"1","14","5","0","0","2","2","0","2","0","0"
"1","14","6","0","0","2","2","0","2","0","0"
"1","14","7","0","0","2","2","0","2","0","0"
"1","14","8","0","9","2","2","8.515","-0.015","32.704","11.703"
"1","14","9","0","22","2","2","20.836","0.372","79.899","58.025"
"1","14","10","225","121","3","2","277.681","8.73","1011.657","968.298"
"1","14","11","112","155","3","2","252.163","8.965","926.921","885.85"
"1","14","12","236","158","4","2","351.454","12.608","1269.173","1218.453"
"1","14","13","0","122","4","2","122.586","6.603","457.732","428.118"
"1","14","14","0","79","5","2","77.29","5.461","290.024","264.01"
"1","14","15","426","66","5","2","267.268","10.639","921.265","880.344"
"1","14","16","143","21","4","2","69.234","4.775","229.174","204.401"
"1","14","17","0","0","3","2","0","3","0","0"
"1","14","18","0","0","2","2","0","2","0","0"
"1","14","19","0","0","1","2","0","1","0","0"
"1","14","20","0","0","1","2","0","1","0","0"
"1","14","21","0","0","0","2","0","0","0","0"
"1","14","22","0","0","0","2","0","0","0","0"
"1","14","23","0","0","0","2","0","0","0","0"
"1","15","0","0","0","0","2","0","0","0","0"
"1","15","1","0","0","0","3","0","0","0","0"
"1","15","2","0","0","0","3","0","0","0","0"
"1","15","3","0","0","-1","3","0","-1","0","0"
"1","15","4","0","0","-2","3","0","-2","0","0"
"1","15","5","0","0","-2","3","0","-2","0","0"
