"PVWatts: Por hora Datos de rendimiento FV"
"Ubicación solicitada:","vancouver"
"Ubicación:","Lat., long.: 49.25, -123.14"
"Lat. (° N):","49.25"
"Long. (° O):","123.14"
"Altitud (m):","39.360000610352"
"Tamaño del sistema en CC (kW):","26"
"Tipo de módulo:","Estándar"
"Tipo de campo:","Fijo (bastidor abierto)"
"Inclinación del campo (grados):","20"
"Acimut del campo (grados):","180"
"Pérdidas del sistema:","14.08"
"Eficiencia del inversor:","96"
"Relación de tamaño de CC a CA:","1.2"
"Costo promedio de la electricidad comprada a la empresa de servicio público ($/kWh):","No hay datos disponibles de servicio público"
"Factor de Capacidad (%)","12.1"	

"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","12","18","0","0","2","2","0","2","0","0"
"1","12","19","0","0","2","2","0","2","0","0"
"1","12","20","0","0","2","2","0","2","0","0"
"1","12","21","0","0","2","2","0","2","0","0"
"1","12","22","0","0","2","2","0","2","0","0"
"1","12","23","0","0","2","2","0","2","0","0"
"1","13","0","0","0","2","2","0","2","0","0"
"1","13","1","0","0","2","3","0","2","0","0"
"1","13","2","0","0","2","3","0","2","0","0"
"1","13","3","0","0","2","3","0","2","0","0"
"1","13","4","0","0","2","3","0","2","0","0"
"1","13","5","0","0","2","2","0","2","0","0"
"1","13","6","0","0","2","2","0","2","0","0"
"1","13","7","0","0","3","1","0","3","0","0"
"1","13","8","0","7","3","1","6.621","0.408","165.002","29.366"
"1","13","9","0","35","4","1","33.199","2.389","820.462","672.576"
"1","13","10","0","25","4","1","23.684","2.22","585.725","442.297"
"1","13","11","0","40","5","1","37.934","3.674","932.347","782.309"
"1","13","12","0","13","5","1","12.31","2.873","303.587","165.413"
"1","13","13","50","120","5","1","161.565","7.872","3879.61","3666.425"
"1","13","14","0","29","5","1","27.481","4.141","674.097","529"
"1","13","15","0","38","5","1","37.084","3.67","911.473","761.837"
"1","13","16","0","0","4","1","0","4","0","0"
"1","13","17","0","0","4","1","0","4","0","0"
"1","13","18","0","0","4","1","0","4","0","0"
"1","13","19","0","0","4","1","0","4","0","0"
"1","13","20","0","0","4","1","0","4","0","0"
"1","13","21","0","0","4","1","0","4","0","0"
"1","13","22","0","0","4","1","0","4","0","0"
"1","13","23","0","0","4","1","0","4","0","0"
"1","14","0","0","0","4","1","0","4","0","0"
"1","14","1","0","0","4","1","0","4","0","0"
"1","14","2","0","0","4","1","0","4","0","0"
"1","14","3","0","0","4","1","0","4","0","0"
"1","14","4","0","0","3","1","0","3","0","0"
"1","14","5","0","0","3","2","0","3","0","0"
"1","14","6","0","0","3","2","0","3","0","0"
"1","14","7","0","0","4","2","0","4","0","0"
"1","14","8","0","1","4","2","0.944","1.797","23.397","0"
"1","14","9","0","7","4","2","6.62","1.963","163.891","28.276"
"1","14","10","0","39","4","2","36.984","2.854","912.184","762.535"
"1","14","11","0","29","5","2","27.484","3.712","675.404","530.282"
"1","14","12","0","15","6","2","14.205","4.312","348.193","209.196"
"1","14","13","679","69","6","2","509.947","18.056","11505.536","11071.309"
"1","14","14","100","94","6","1","161.922","11.679","3783.212","3572.289"
"1","14","15","0","45","5","1","45.3","4.766","1108.202","954.745"
"1","14","16","0","0","5","1","0","5","0","0"
"1","14","17","0","0","5","1","0","5","0","0"
"1","14","18","0","0","5","1","0","5","0","0"
"1","14","19","0","0","5","1","0","5","0","0"
"1","14","20","0","0","5","1","0","5","0","0"
"1","14","21","0","0","5","1","0","5","0","0"
"1","14","22","0","0","5","1","0","5","0","0"
"1","14","23","0","0","5","1","0","5","0","0"
"1","15","0","0","0","5","1","0","5","0","0"
"1","15","1","0","0","5","1","0","5","0","0"
"1","15","2","0","0","4","1","0","4","0","0"
"1","15","3","0","0","4","1","0","4","0","0"
"1","15","4","0","0","4","1","0","4","0","0"
"1","15","5","0","0","4","1","0","4","0","0"
"1","15","6","0","0","4","1","0","4","0","0"
"1","15","7","0","0","4","1","0","4","0","0"
"1","15","8","0","11","4","1","10.415","1.563","258.283","120.942"
"1","15","9","0","49","4","1","48.154","2.932","1187.296","1032.286"
"1","15","10","0","79","5","1","78.274","5.221","1911.136","1741.504"
"1","15","11","0","96","5","1","95.161","5.986","2315.788","2137.656"
"1","15","12","0","46","5","1","43.64","4.303","1069.712","917.007"
"1","15","13","0","78","5","1","75.704","5.106","1849.28","1680.927"
"1","15","14","0","24","5","1","22.734","3.461","559.281","416.35"
"1","15","15","0","22","5","1","20.842","3.078","513.571","371.497"
"1","15","16","0","0","5","1","0","5","0","0"
"1","15","17","0","0","4","2","0","4","0","0"
"1","15","18","0","0","4","2","0","4","0","0"
"1","15","19","0","0","4","2","0","4","0","0"
"1","15","20","0","0","4","1","0","4","0","0"
"1","15","21","0","0","4","1","0","4","0","0"
"1","15","22","0","0","3","1","0","3","0","0"
"1","15","23","0","0","3","1","0","3","0","0"
"1","16","0","0","0","3","1","0","3","0","0"
"1","16","1","0","0","3","1","0","3","0","0"
"1","16","2","0","0","4","1","0","4","0","0"
"1","16","3","0","0","4","1","0","4","0","0"
"1","16","4","0","0","5","1","0","5","0","0"
"1","16","5","0","0","5","2","0","5","0","0"
"1","16","6","0","0","5","1","0","5","0","0"
"1","16","7","0","0","6","1","0","6","0","0"
"1","16","8","0","2","6","2","1.889","3.857","46.398","0"
"1","16","9","0","11","6","2","10.407","4.107","255.312","118.026"
"1","16","10","0","14","6","2","13.253","4.22","324.973","186.405"
"1","16","11","0","48","6","2","45.542","5.152","1112.283","958.746"
"1","16","12","0","11","6","2","10.415","4.273","255.337","118.05"
"1","16","13","55","126","6","1","171.672","9.21","4098.532","3880.161"
"1","16","14","0","11","6","1","10.41","4.624","254.815","117.538"
"1","16","15","6","51","6","1","54.487","5.189","1324.377","1166.655"
"1","16","16","0","5","6","1","4.727","3.731","116.162","0"
"1","16","17","0","0","6","1","0","6","0","0"
"1","16","18","0","0","6","1","0","6","0","0"
"1","16","19","0","0","6","1","0","6","0","0"
"1","16","20","0","0","5","1","0","5","0","0"
"1","16","21","0","0","5","1","0","5","0","0"
"1","16","22","0","0","5","1","0","5","0","0"
"1","16","23","0","0","5","1","0","5","0","0"
"1","17","0","0","0","5","1","0","5","0","0"
"1","17","1","0","0","5","1","0","5","0","0"
"1","17","2","0","0","5","1","0","5","0","0"
"1","17","3","0","0","4","2","0","4","0","0"
"1","17","4","0","0","4","2","0","4","0","0"
"1","17","5","0","0","4","2","0","4","0","0"
"1","17","6","0","0","4","2","0","4","0","0"
"1","17","7","0","0","4","2","0","4","0","0"
"1","17","8","155","23","4","2","77.375","4.004","1681.59","1516.677"
"1","17","9","489","53","4","2","284.766","10.13","6376.045","6099.656"
"1","17","10","648","66","5","2","451.138","16.425","10156.716","9767.639"
"1","17","11","27","125","5","2","152.629","8.814","3659.501","3451.461"
"1","17","12","0","69","5","2","65.649","5.244","1602.718","1439.408"
"1","17","13","0","54","5","2","51.253","4.501","1255.267","1098.916"
"1","17","14","0","89","4","2","90.509","4.558","2216.163","2040.146"
"1","17","15","0","10","4","2","9.46","2.388","233.776","96.884"
"1","17","16","0","14","3","2","13.272","1.172","329.685","191.029"
"1","17","17","0","0","2","2","0","2","0","0"
"1","17","18","0","0","2","2","0","2","0","0"
"1","17","19","0","0","2","1","0","2","0","0"
"1","17","20","0","0","2","1","0","2","0","0"
"1","17","21","0","0","1","1","0","1","0","0"
"1","17","22","0","0","1","1","0","1","0","0"
"1","17","23","0","0","1","0","0","1","0","0"
"1","18","0","0","0","1","0","0","1","0","0"
"1","18","1","0","0","1","0","0","1","0","0"
"1","18","2","0","0","1","0","0","1","0","0"
"1","18","3","0","0","1","0","0","1","0","0"
"1","18","4","0","0","1","1","0","1","0","0"
"1","18","5","0","0","1","1","0","1","0","0"
"1","18","6","0","0","1","1","0","1","0","0"
